City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
San Juan,AR,-31.54,-68.54,67.75,43,5,6.06
Mareeba,AU,-17.0,145.43,86.92,66,99,6.93
Lixouri,GR,38.2,20.43,53.6,100,0,2.13
Kanye,BW,-24.97,25.33,66.27,37,0,3.83
San Pablo City,PH,14.07,121.33,87.51,66,90,11.41
Al Bardīyah,LY,31.76,25.09,59.49,75,4,6.85
Léo,BF,11.1,-2.1,79.38,52,31,4.27
Kutum,SD,14.2,24.67,71.44,14,96,11.99
Kayes,ML,14.0,-11.0,81.32,49,18,7.36
Goderich,CA,43.75,-81.72,41.63,70,91,14.56
Gospić,HR,44.55,15.37,53.6,62,4,5.82
Paracuru,BR,-3.41,-39.03,79.45,94,75,6.93
Portland,US,45.52,-122.68,47.03,61,1,8.05
Krasne,UA,49.91,24.61,44.6,39,77,11.18
Coyhaique,CL,-45.58,-72.07,46.4,70,40,3.36
Degollado,MX,20.47,-102.15,61.14,21,12,3.53
Qaqortoq,GL,60.72,-46.03,42.8,33,100,61.07
Lompoc,US,34.64,-120.46,52.38,81,90,8.05
Katsuura,JP,35.13,140.3,57.52,67,75,9.17
Mlonggo,ID,-6.53,110.7,89.6,59,20,6.93
Alpena,US,45.06,-83.43,36.14,71,1,5.82
Bouna,CI,9.27,-3.0,76.33,69,15,4.47
Aden,YE,12.78,45.04,83.91,71,27,10.31
Shelburne,CA,44.08,-80.2,36.39,71,1,6.93
San Jose,US,37.34,-121.89,53.02,76,90,4.7
Savonlinna,FI,61.87,28.88,33.89,59,63,11.41
Sidi Ali,DZ,36.1,0.42,58.5,87,100,5.77
Acapulco de Juárez,MX,16.86,-99.89,75.2,88,5,3.15
Muroto-misakicho,JP,33.28,134.15,51.8,93,75,8.05
Kongoussi,BF,13.33,-1.53,78.85,30,6,5.28
Bergen op Zoom,NL,51.49,4.29,49.3,75,0,1.12
Barguzin,RU,53.62,109.62,41.49,66,98,6.71
Solapur,IN,17.68,75.92,99.05,13,0,9.33
Chanderi,IN,24.72,78.13,99.19,11,0,9.73
Rio Branco do Sul,BR,-25.19,-49.31,56.86,100,75,4.7
São Filipe,CV,14.9,-24.5,74.14,76,55,8.43
Lagoa,PT,39.05,-27.98,60.66,79,4,7.94
Laguna,US,38.42,-121.42,52.7,87,1,10.29
Tautira,PF,-17.73,-149.15,82.2,74,20,2.24
Den Helder,NL,52.96,4.76,49.66,71,54,6.93
Ţahţā,EG,26.77,31.5,67.87,31,21,9.22
Ubinskoye,RU,55.31,79.68,36.57,91,2,6.55
Preeceville,CA,51.95,-102.67,9.57,90,59,7.81
Mikhaylovka,RU,50.06,43.24,37.0,87,43,10.0
Ancud,CL,-41.87,-73.82,37.4,100,0,3.36
Trat,TH,12.5,102.5,86.83,79,20,12.75
Xingyi,CN,24.19,102.82,65.55,32,93,7.49
Sergiyevsk,RU,53.94,51.16,48.85,52,100,13.18
San Policarpo,PH,12.18,125.51,83.53,63,43,7.87
Chapais,CA,49.78,-74.85,17.6,85,1,6.93
Temir,KZ,49.14,57.13,53.01,39,46,10.87
Port Blair,IN,11.67,92.75,84.11,70,90,4.79
Krasnosel'kup,RU,65.7,82.47,32.38,97,100,6.53
Nouadhibou,MR,20.93,-17.03,66.2,72,0,20.8
Siavonga,ZM,-16.54,28.71,74.21,59,93,6.24
Altay,CN,47.87,88.12,53.28,33,48,3.69
Villa Guerrero,MX,18.87,-99.65,53.6,37,5,3.71
Horsham,GB,51.06,-0.33,47.82,87,18,2.24
Batagay-Alyta,RU,67.8,130.41,28.83,78,1,8.81
College,US,64.86,-147.8,35.19,91,75,0.85
Dicabisagan,PH,17.08,122.42,83.66,67,18,3.09
Şuraabad,AZ,40.82,49.47,55.4,71,75,25.28
Departamento de Maldonado,UY,-34.67,-54.92,58.12,93,54,3.36
Moroni,KM,-11.7,43.26,83.44,72,97,10.09
Aracoiaba,BR,-4.37,-38.81,73.51,90,99,1.05
Danilov,RU,58.19,40.17,33.8,50,0,4.47
Aykhal,RU,66.0,111.5,33.8,47,11,11.18
Ostrovnoy,RU,68.05,39.51,19.31,93,1,10.6
Bonavista,CA,48.65,-53.11,33.01,86,26,11.01
Faya,SA,18.39,42.45,65.3,82,64,8.05
Sisian,AM,39.53,46.03,51.8,40,75,4.7
Camacha,PT,33.08,-16.33,59.52,87,75,18.34
Ambérieu-en-Bugey,FR,45.96,5.34,47.17,66,0,3.36
Lac du Bonnet,CA,50.25,-96.06,24.01,89,85,7.63
Kota Belud,MY,6.35,116.43,91.4,63,20,9.17
Hammerfest,NO,70.66,23.68,28.4,63,100,3.36
Road Town,VG,18.42,-64.62,79.36,83,1,4.7
Itatskiy,RU,56.07,89.04,45.54,51,0,9.84
Kangaatsiaq,GL,68.31,-53.46,30.43,92,100,12.93
Barra do Garças,BR,-15.89,-52.26,72.09,77,71,1.74
Camaná,PE,-16.62,-72.71,70.59,79,52,5.66
Makakilo City,US,21.35,-158.09,74.3,73,1,8.05
Jaisalmer,IN,26.91,70.92,99.03,12,39,6.24
Cusuna,HN,15.85,-85.23,76.51,83,55,12.68
Bratsk,RU,56.13,101.61,45.19,28,20,8.95
Anloga,GH,5.79,0.9,82.4,83,20,3.36
Zheleznodorozhnyy,RU,55.75,38.0,35.06,64,75,13.42
Barreirinha,BR,-2.79,-57.07,74.84,96,97,0.13
Teguise,ES,29.06,-13.56,64.4,68,75,10.29
Nemuro,JP,43.32,145.57,41.0,52,20,8.05
Rincón de la Victoria,ES,36.72,-4.28,55.44,87,75,4.7
Galveston,US,29.37,-94.97,74.23,88,90,17.22
Etchoropo,MX,26.77,-109.67,63.0,65,26,1.01
Olinda,BR,-8.01,-34.86,84.2,70,20,5.82
Te Anau,NZ,-45.42,167.72,54.0,83,83,1.03
Cherskiy,RU,68.75,161.3,24.03,96,71,14.09
Salinópolis,BR,-0.61,-47.36,81.07,82,100,7.0
Tucupita,VE,9.06,-62.05,69.46,94,61,3.24
Ishigaki,JP,24.34,124.16,64.4,72,75,18.34
Shahreza,IR,32.03,51.88,59.45,15,29,25.39
Rassvet,RU,46.83,40.75,41.81,63,48,15.84
Masterton,NZ,-40.96,175.66,64.65,61,77,1.99
Boueni,YT,-12.9,45.08,89.6,62,20,14.99
Călmăţuiu,RO,43.97,24.87,39.2,86,20,2.24
Kysyl-Syr,RU,63.9,122.76,33.44,86,99,11.59
San Quintín,MX,30.48,-115.95,59.11,80,27,16.06
Rosita,NI,13.93,-84.4,71.4,94,100,0.25
Correntina,BR,-13.34,-44.64,70.59,79,100,2.84
Lengshuitan,CN,26.41,111.6,64.53,43,0,9.24
Grand-Santi,GF,4.25,-54.38,70.32,94,82,2.26
Hue,VN,16.47,107.6,80.24,81,49,9.82
Pingshan,CN,22.99,114.71,73.99,45,0,3.0
Lüderitz,NA,-26.65,15.16,59.0,72,0,8.05
Plettenberg Bay,ZA,-34.05,23.37,69.44,56,89,11.39
Ankang,CN,32.68,109.02,74.73,17,0,3.78
Verkhnevilyuysk,RU,63.45,120.32,37.8,71,99,10.42
Otradnoye,RU,59.78,30.82,37.72,64,31,6.71
Taltal,CL,-25.4,-70.48,62.69,74,32,1.03
Bud,US,39.45,-86.18,47.79,76,90,8.05
Kudat,MY,6.88,116.85,88.39,74,75,6.93
Bāgepalli,IN,13.78,77.79,86.0,30,0,8.05
Mastic Beach,US,40.77,-72.85,38.23,64,1,2.73
Mporokoso,ZM,-9.37,30.12,66.45,58,100,7.63
